"","L1","Average","Satisfaction","Usage"
"1","q01","3.95+/-0.07","92.1+/-2.1%","96.52%"
"2","q02","4.34+/-0.07","93.5+/-2%","98.16%"
"3","q03","3.42+/-0.07","86.6+/-2.6%","100%"
"4","q07_a","3.89+/-0.14","87.6+/-4.2%","41.91%"
"5","q07_b","4.16+/-0.11","94.1+/-2.6%","46.74%"
"6","q07_c","3.95+/-0.16","89.2+/-4.5%","32.58%"
"7","q07_d","3.85+/-0.14","87.6+/-4.4%","40.49%"
"8","q07_e","3.93+/-0.11","92.6+/-2.9%","56.28%"
"9","q07_f","4.14+/-0.14","91.3+/-3.8%","35.51%"
"10","q07_g","4+/-0.15","93.2+/-3.5%","38.84%"
"11","q07_h","3.91+/-0.1","88.8+/-3%","68.66%"
"12","q07_i","4+/-0.15","92.8+/-3.9%","31.15%"
"13","q07_j","4.37+/-0.08","94.1+/-2.1%","83.82%"
"14","q07_k","4.31+/-0.09","95.5+/-2%","71.34%"
"15","q08","4.19+/-0.07","95.6+/-1.7%","91.53%"
"16","q09_a","3.83+/-0.09","92.2+/-2.6%","75.72%"
"17","q09_b","3.82+/-0.11","90.4+/-3.2%","48.13%"
"18","q09_c","3.92+/-0.09","93.4+/-2.4%","67.89%"
"19","q10","3.95+/-0.08","94.8+/-1.9%","86.44%"
"20","q11_a","4.05+/-0.08","93.3+/-2.1%","77.24%"
"21","q11_b","4.16+/-0.08","94.6+/-2%","76.49%"
"22","q11_c","4.14+/-0.08","92.6+/-2.3%","79.21%"
"23","q11_d","4.06+/-0.15","91.2+/-3.8%","31.13%"
"24","q11_e","4.08+/-0.1","93+/-2.7%","52.92%"
"25","q12","4.14+/-0.07","96.4+/-1.5%","82.09%"
"26","q14_b","3.6+/-0.15","82.8+/-4.7%","39.17%"
"27","q14_c","3.63+/-0.17","84+/-5.1%","32.77%"
"28","q19_h","3.88+/-0.09","87.3+/-2.6%","94.36%"
"29","q20","3.92+/-0.08","91.8+/-2.1%","96.45%"
"30","q21","3.71+/-0.1","85.1+/-3%","89.4%"
"31","q22","3.69+/-0.1","83.3+/-3.2%","87.73%"
"32","q23","3.94+/-0.08","92.8+/-2.2%","90.95%"
"33","q26_b","3.9+/-0.12","92.7+/-3.1%","36.33%"
"34","q27_a","3.46+/-0.09","78.5+/-3.4%","97.07%"
"35","q28","3.6+/-0.09","84.1+/-3.1%","97.37%"
