"","type","x","counts1-5","L1","x.1","counts3-5","L1.1","wg","subSamp","counts3-5Wg","prop","satis","nh","Nh","var","se"
"1",1,15,0,"Q6_a",345,0,"Q6_a",0,NA,0,NA,NA,-1,NA,NA,NA
"2",1,15,0,"q15",345,0,"q15",0,NA,0,NA,NA,-1,NA,NA,NA
"3",1,15,0,"q19_c",345,0,"q19_c",0,NA,0,NA,NA,-1,NA,NA,NA
"4",1,15,0,"q32",345,0,"q32",0,NA,0,NA,NA,-1,NA,NA,NA
"5",2,15,0,"Q6_a",345,0,"Q6_a",0,NA,0,NA,NA,-1,NA,NA,NA
"6",2,15,0,"q15",345,0,"q15",0,NA,0,NA,NA,-1,NA,NA,NA
"7",2,15,0,"q19_c",345,0,"q19_c",0,NA,0,NA,NA,-1,NA,NA,NA
"8",2,15,0,"q32",345,0,"q32",0,NA,0,NA,NA,-1,NA,NA,NA
"9",3,15,344,"Q6_a",345,330,"Q6_a",0.784617041904557,36418,258.923623828504,0.959302325581395,0.752684952989836,343,36418,6.96153011367074e-05,0.00834357843713999
"10",3,15,186,"q15",345,172,"q15",0.784617041904557,36418,134.954131207584,0.924731182795699,0.725559845202063,185,36418,0.000231694885489762,0.0152215270419811
"11",3,15,299,"q19_c",345,248,"q19_c",0.784617041904557,36418,194.58502639233,0.82943143812709,0.65078604144592,298,36418,0.000290850727610869,0.017054346296791
"12",3,15,281,"q32",345,265,"q32",0.784617041904557,36418,207.923516104708,0.943060498220641,0.739941338450917,280,36418,0.000117574329044399,0.0108431696954534
"13",4,15,144,"Q6_a",345,136,"Q6_a",0.215382958095443,9997,29.2920823009803,0.944444444444444,0.203417238201252,143,9997,1.68958913169322e-05,0.00411046120489321
"14",4,15,73,"q15",345,67,"q15",0.215382958095443,9997,14.4306581923947,0.917808219178082,0.197680249210886,72,9997,4.89334100896035e-05,0.00699524196076187
"15",4,15,170,"q19_c",345,137,"q19_c",0.215382958095443,9997,29.5074652590757,0.805882352941176,0.173573325053387,169,9997,4.24664065262324e-05,0.00651662539403888
"16",4,15,160,"q32",345,153,"q32",0.215382958095443,9997,32.9535925886028,0.95625,0.205959953678768,159,9997,1.20879378751089e-05,0.00347677118532539
